3M Co,Abbott Laboratories,AbbVie Inc,Accenture PLC,Activision Blizzard Inc,Acuity Brands Inc,Adobe Systems Inc,Advance Auto Parts Inc,AES Corp,Aetna Inc,Affiliated Managers Group Inc,Aflac Inc,Agilent Technologies Inc,Air Products and Chemicals Inc,Akamai Technologies Inc,Alaska Air Group Inc,Albemarle Corp,Alexion Pharmaceuticals Inc,Allegion PLC,Allergan plc
Alliance Data Systems Corp,Alliant Energy Corp,Allstate Corp,Alphabet Inc,Alphabet Inc,Altria Group Inc,Amazon.com Inc,Ameren Corp,American Airlines Group Inc,American Electric Power Company Inc,American Express Co,American International Group Inc,American Tower Corp,American Water Works Company Inc,Ameriprise Financial Inc,AmerisourceBergen Corp,Ametek Inc,Amgen Inc,Amphenol Corp,Anadarko Petroleum Corp
Analog Devices Inc,Anthem Inc,Aon PLC,Apache Corp,Apartment Investment and Management Co,Apple Inc,Applied Materials Inc,Archer Daniels Midland Co,Arconic Inc,Arthur J Gallagher & Co,Assurant Inc,AT&T Inc,Autodesk Inc,Automatic Data Processing Inc,AutoNation Inc,Autozone Inc,AvalonBay Communities Inc,Avery Dennison Corp,Baker Hughes Inc,Ball Corp
Bank of America Corp,Bank of New York Mellon Corp,Baxter International Inc,BB&T Corp,Becton Dickinson and Co,Bed Bath & Beyond Inc,Berkshire Hathaway Inc,Best Buy Co Inc,Biogen Inc,BlackRock Inc,Boeing Co,BorgWarner Inc,Boston Properties Inc,Boston Scientific Corp,Bristol-Myers Squibb Co,Broadcom Ltd,Brown-Forman Corp,C R Bard Inc,C.H. Robinson Worldwide Inc,CA Inc
Cabot Oil & Gas Corp,Campbell Soup Co,Capital One Financial Corp,Cardinal Health Inc,Carmax Inc,Carnival Corp,Caterpillar Inc,CBRE Group Inc,CBS Corp,Celgene Corp,Centene Corp,CenterPoint Energy Inc,CenturyLink Inc,Cerner Corp,CF Industries Holdings Inc,Charles Schwab Corp,Charter Communications Inc,Chesapeake Energy Corp,Chevron Corp,Chipotle Mexican Grill Inc
Chubb Ltd,Church & Dwight Co Inc,Cigna Corp,Cimarex Energy Co,Cincinnati Financial Corp,Cintas Corp,Cisco Systems Inc,Citigroup Inc,Citizens Financial Group Inc,Citrix Systems Inc,Clorox Co,CME Group Inc,CMS Energy Corp,Coach Inc,Coca-Cola Co,Cognizant Technology Solutions Corp,Colgate-Palmolive Co,Comcast Corp,Comerica Inc,Conagra Brands Inc
Concho Resources Inc,ConocoPhillips,Consolidated Edison Inc,Constellation Brands Inc,Cooper Companies Inc,Corning Inc,Costco Wholesale Corp,Coty Inc,Crown Castle International Corp,CSRA Inc,CSX Corp,Cummins Inc,CVS Health Corp,D.R. Horton Inc,Danaher Corp,Darden Restaurants Inc,Davita Inc,Deere & Co,Delphi Automotive PLC,Delta Air Lines Inc
Dentsply Sirona Inc,Devon Energy Corp,Digital Realty Trust Inc,Discover Financial Services,Discovery Communications Inc,Discovery Communications Inc,Dollar General Corp,Dollar Tree Inc,Dominion Resources Inc,Dover Corp,Dow Chemical Co,Dr Pepper Snapple Group Inc,DTE Energy Co,Duke Energy Corp,Dun & Bradstreet Corp,E I du Pont de Nemours and Co,E*TRADE Financial Corp,Eastman Chemical Co,Eaton Corporation PLC,eBay Inc
Ecolab Inc,Edison International,Edwards Lifesciences Corp,Electronic Arts Inc,Eli Lilly and Co,Emerson Electric Co,Endo International PLC,Entergy Corp,EOG Resources Inc,EQT Corp,Equifax Inc,Equinix Inc,Equity Residential,Essex Property Trust Inc,Estee Lauder Companies Inc,Eversource Energy,Exelon Corp,Expedia Inc,Expeditors International of Washington Inc,Express Scripts Holding Co
Extra Space Storage Inc,Exxon Mobil Corp,F5 Networks Inc,Facebook Inc,Fastenal Co,Federal Realty Investment Trust,FedEx Corp,Fidelity National Information Services Inc,Fifth Third Bancorp,First Solar Inc,FirstEnergy Corp,Fiserv Inc,FLIR Systems Inc,Flowserve Corp,Fluor Corp,FMC Corp,FMC Technologies Inc,Foot Locker Inc,Ford Motor Co,Fortive Corp
Fortune Brands Home & Security Inc,Franklin Resources Inc,Freeport-McMoRan Inc,Frontier Communications Corp,Gap Inc,Garmin Ltd,General Dynamics Corp,General Electric Co,General Growth Properties Inc,General Mills Inc,General Motors Co,Genuine Parts Co,Gilead Sciences Inc,Global Payments Inc,Goldman Sachs Group Inc,Goodyear Tire & Rubber Co,H & R Block Inc,Halliburton Co,HanesBrands Inc,Harley-Davidson Inc
